"sex" "age" "period" "region" "outcome" "cases" "pop"
"169" 1 1 5 2 "Deaths" 18 58833
"170" 2 1 5 2 "Deaths" 19 57043
"171" 1 2 5 2 "Deaths" 4 16698
"172" 2 2 5 2 "Deaths" 6 15488
"173" 1 3 5 2 "Deaths" 6 12929
"174" 2 3 5 2 "Deaths" 6 12285
"175" 1 4 5 2 "Deaths" 7 12159
"176" 2 4 5 2 "Deaths" 8 12290
"177" 1 5 5 2 "Deaths" 9 7789
"178" 2 5 5 2 "Deaths" 6 10254
"179" 1 6 5 2 "Deaths" 5 2796
"180" 2 6 5 2 "Deaths" 5 5941
"181" 1 1 6 2 "Deaths" 17 58083
"182" 2 1 6 2 "Deaths" 19 56193
"183" 1 2 6 2 "Deaths" 4 17798
"184" 2 2 6 2 "Deaths" 5 16526
"185" 1 3 6 2 "Deaths" 4 14025
"186" 2 3 6 2 "Deaths" 4 13233
"187" 1 4 6 2 "Deaths" 7 11751
"188" 2 4 6 2 "Deaths" 5 11914
"189" 1 5 6 2 "Deaths" 8 8439
"190" 2 5 6 2 "Deaths" 7 10732
"191" 1 6 6 2 "Deaths" 5 3044
"192" 2 6 6 2 "Deaths" 6 6389
"193" 1 1 7 2 "Deaths" 16 57532
"194" 2 1 7 2 "Deaths" 16 55522
"195" 1 2 7 2 "Deaths" 5 18828
"196" 2 2 7 2 "Deaths" 4 17580
"197" 1 3 7 2 "Deaths" 4 15016
"198" 2 3 7 2 "Deaths" 4 14119
"199" 1 4 7 2 "Deaths" 6 11456
"200" 2 4 7 2 "Deaths" 6 11639
"201" 1 5 7 2 "Deaths" 5 9049
"202" 2 5 7 2 "Deaths" 7 11143
"203" 1 6 7 2 "Deaths" 4 3329
"204" 2 6 7 2 "Deaths" 7 6894
"241" 1 1 1 3 "Deaths" 16 82810
"242" 2 1 1 3 "Deaths" 17 78847
"243" 1 2 1 3 "Deaths" 4 18148
"244" 2 2 1 3 "Deaths" 4 16758
"245" 1 3 1 3 "Deaths" 8 16795
"246" 2 3 1 3 "Deaths" 5 15682
"247" 1 4 1 3 "Deaths" 5 12802
"248" 2 4 1 3 "Deaths" 6 13320
"249" 1 5 1 3 "Deaths" 5 6210
"250" 2 5 1 3 "Deaths" 4 8645
"251" 1 6 1 3 "Deaths" 4 2158
"252" 2 6 1 3 "Deaths" 5 4536
"253" 1 1 2 3 "Deaths" 16 80155
"254" 2 1 2 3 "Deaths" 17 76574
"255" 1 2 2 3 "Deaths" 4 18724
"256" 2 2 2 3 "Deaths" 4 17298
"257" 1 3 2 3 "Deaths" 6 16312
"258" 2 3 2 3 "Deaths" 5 15357
"259" 1 4 2 3 "Deaths" 5 13659
"260" 2 4 2 3 "Deaths" 6 14010
"261" 1 5 2 3 "Deaths" 6 6575
"262" 2 5 2 3 "Deaths" 6 9017
