"sex" "age" "period" "region" "outcome" "cases" "pop" "casosPred" "casosO" "PredHasta" "mod"
"333" 1 5 8 3 "Incidence" NA 10850 8 9 "2003_2004" 8
"334" 2 5 8 3 "Incidence" NA 13187 10 7 "2003_2004" 8
"335" 1 6 8 3 "Incidence" NA 4071 4 4 "2003_2004" 8
"336" 2 6 8 3 "Incidence" NA 8007 9 5 "2003_2004" 8
"445" 1 1 8 4 "Incidence" NA 90691 16 18 "2003_2004" 8
"446" 2 1 8 4 "Incidence" NA 84407 16 18 "2003_2004" 8
"447" 1 2 8 4 "Incidence" NA 28613 6 7 "2003_2004" 8
"448" 2 2 8 4 "Incidence" NA 27439 7 7 "2003_2004" 8
"449" 1 3 8 4 "Incidence" NA 25290 8 11 "2003_2004" 8
"450" 2 3 8 4 "Incidence" NA 23684 8 9 "2003_2004" 8
"451" 1 4 8 4 "Incidence" NA 18478 8 16 "2003_2004" 8
"452" 2 4 8 4 "Incidence" NA 18939 9 7 "2003_2004" 8
"453" 1 5 8 4 "Incidence" NA 14417 9 11 "2003_2004" 8
"454" 2 5 8 4 "Incidence" NA 18090 12 9 "2003_2004" 8
"455" 1 6 8 4 "Incidence" NA 5629 5 5 "2003_2004" 8
"456" 2 6 8 4 "Incidence" NA 11110 10 8 "2003_2004" 8
"565" 1 1 8 5 "Incidence" NA 54782 14 16 "2003_2004" 8
"566" 2 1 8 5 "Incidence" NA 50411 15 17 "2003_2004" 8
"567" 1 2 8 5 "Incidence" NA 17126 6 5 "2003_2004" 8
"568" 2 2 8 5 "Incidence" NA 15838 6 4 "2003_2004" 8
"569" 1 3 8 5 "Incidence" NA 14780 7 7 "2003_2004" 8
"570" 2 3 8 5 "Incidence" NA 13706 7 4 "2003_2004" 8
"571" 1 4 8 5 "Incidence" NA 11353 7 7 "2003_2004" 8
"572" 2 4 8 5 "Incidence" NA 11248 8 5 "2003_2004" 8
"573" 1 5 8 5 "Incidence" NA 8726 7 6 "2003_2004" 8
"574" 2 5 8 5 "Incidence" NA 10400 10 4 "2003_2004" 8
"575" 1 6 8 5 "Incidence" NA 3151 4 5 "2003_2004" 8
"576" 2 6 8 5 "Incidence" NA 6334 9 8 "2003_2004" 8
"685" 1 1 8 6 "Incidence" NA 190451 24 21 "2003_2004" 8
"686" 2 1 8 6 "Incidence" NA 181557 21 19 "2003_2004" 8
"687" 1 2 8 6 "Incidence" NA 57916 9 11 "2003_2004" 8
"688" 2 2 8 6 "Incidence" NA 59907 8 9 "2003_2004" 8
"689" 1 3 8 6 "Incidence" NA 50533 11 12 "2003_2004" 8
"690" 2 3 8 6 "Incidence" NA 53735 11 9 "2003_2004" 8
"691" 1 4 8 6 "Incidence" NA 37774 11 19 "2003_2004" 8
"692" 2 4 8 6 "Incidence" NA 42972 12 10 "2003_2004" 8
"693" 1 5 8 6 "Incidence" NA 27300 11 15 "2003_2004" 8
"694" 2 5 8 6 "Incidence" NA 38078 14 14 "2003_2004" 8
"695" 1 6 8 6 "Incidence" NA 10450 6 7 "2003_2004" 8
"696" 2 6 8 6 "Incidence" NA 24913 13 7 "2003_2004" 8
"805" 1 1 8 7 "Incidence" NA 152542 21 22 "2003_2004" 8
"806" 2 1 8 7 "Incidence" NA 144741 21 17 "2003_2004" 8
"807" 1 2 8 7 "Incidence" NA 46863 8 7 "2003_2004" 8
"808" 2 2 8 7 "Incidence" NA 46954 8 8 "2003_2004" 8
"809" 1 3 8 7 "Incidence" NA 40159 10 8 "2003_2004" 8
"810" 2 3 8 7 "Incidence" NA 39395 10 11 "2003_2004" 8
"811" 1 4 8 7 "Incidence" NA 29611 10 7 "2003_2004" 8
"812" 2 4 8 7 "Incidence" NA 29149 10 9 "2003_2004" 8
"813" 1 5 8 7 "Incidence" NA 21045 10 6 "2003_2004" 8
"814" 2 5 8 7 "Incidence" NA 25249 12 10 "2003_2004" 8
"815" 1 6 8 7 "Incidence" NA 8240 6 5 "2003_2004" 8
"816" 2 6 8 7 "Incidence" NA 16320 11 10 "2003_2004" 8
"925" 1 1 8 8 "Incidence" NA 32792 12 16 "2003_2004" 8
"926" 2 1 8 8 "Incidence" NA 28803 12 16 "2003_2004" 8
"927" 1 2 8 8 "Incidence" NA 10717 5 5 "2003_2004" 8
"928" 2 2 8 8 "Incidence" NA 9103 5 5 "2003_2004" 8
"929" 1 3 8 8 "Incidence" NA 8897 6 5 "2003_2004" 8
"930" 2 3 8 8 "Incidence" NA 7625 6 6 "2003_2004" 8
"931" 1 4 8 8 "Incidence" NA 6915 6 6 "2003_2004" 8
"932" 2 4 8 8 "Incidence" NA 6775 7 7 "2003_2004" 8
"933" 1 5 8 8 "Incidence" NA 6814 8 8 "2003_2004" 8
"934" 2 5 8 8 "Incidence" NA 8039 11 6 "2003_2004" 8
"935" 1 6 8 8 "Incidence" NA 3356 6 6 "2003_2004" 8
"936" 2 6 8 8 "Incidence" NA 5852 11 5 "2003_2004" 8
"1045" 1 1 8 9 "Incidence" NA 73350 16 20 "2003_2004" 8
"1046" 2 1 8 9 "Incidence" NA 64931 15 17 "2003_2004" 8
"1047" 1 2 8 9 "Incidence" NA 20647 6 4 "2003_2004" 8
"1048" 2 2 8 9 "Incidence" NA 18295 5 5 "2003_2004" 8
"1049" 1 3 8 9 "Incidence" NA 15899 6 7 "2003_2004" 8
"1050" 2 3 8 9 "Incidence" NA 14669 6 4 "2003_2004" 8
"1051" 1 4 8 9 "Incidence" NA 12460 7 6 "2003_2004" 8
"1052" 2 4 8 9 "Incidence" NA 13138 7 6 "2003_2004" 8
"1053" 1 5 8 9 "Incidence" NA 11931 9 8 "2003_2004" 8
"1054" 2 5 8 9 "Incidence" NA 14701 11 6 "2003_2004" 8
"1055" 1 6 8 9 "Incidence" NA 5613 6 5 "2003_2004" 8
"1056" 2 6 8 9 "Incidence" NA 9990 10 5 "2003_2004" 8
"1165" 1 1 8 10 "Incidence" NA 34304 12 18 "2003_2004" 8
"1166" 2 1 8 10 "Incidence" NA 29956 13 16 "2003_2004" 8
"1167" 1 2 8 10 "Incidence" NA 11306 5 5 "2003_2004" 8
"1168" 2 2 8 10 "Incidence" NA 9071 5 4 "2003_2004" 8
"1169" 1 3 8 10 "Incidence" NA 9466 6 5 "2003_2004" 8
"1170" 2 3 8 10 "Incidence" NA 7602 6 4 "2003_2004" 8
"1171" 1 4 8 10 "Incidence" NA 7322 6 4 "2003_2004" 8
"1172" 2 4 8 10 "Incidence" NA 6368 7 6 "2003_2004" 8
"1173" 1 5 8 10 "Incidence" NA 6691 8 4 "2003_2004" 8
"1174" 2 5 8 10 "Incidence" NA 7014 10 6 "2003_2004" 8
"1175" 1 6 8 10 "Incidence" NA 2850 5 4 "2003_2004" 8
"1176" 2 6 8 10 "Incidence" NA 5074 10 6 "2003_2004" 8
"1285" 1 1 8 11 "Incidence" NA 169081 27 21 "2003_2004" 8
"1286" 2 1 8 11 "Incidence" NA 162405 25 21 "2003_2004" 8
"1287" 1 2 8 11 "Incidence" NA 43827 9 8 "2003_2004" 8
"1288" 2 2 8 11 "Incidence" NA 45160 9 5 "2003_2004" 8
"1289" 1 3 8 11 "Incidence" NA 36348 10 7 "2003_2004" 8
"1290" 2 3 8 11 "Incidence" NA 39255 11 10 "2003_2004" 8
"1291" 1 4 8 11 "Incidence" NA 24931 9 8 "2003_2004" 8
"1292" 2 4 8 11 "Incidence" NA 27563 10 8 "2003_2004" 8
"1293" 1 5 8 11 "Incidence" NA 17838 10 14 "2003_2004" 8
"1294" 2 5 8 11 "Incidence" NA 23894 12 10 "2003_2004" 8
"1295" 1 6 8 11 "Incidence" NA 7695 6 8 "2003_2004" 8
"1296" 2 6 8 11 "Incidence" NA 16611 12 8 "2003_2004" 8
